"dataset_id","url","n_names"
"556cc02f-da65-4233-85b0-cebc2c3aadfc","http://ipt.vliz.be/eurobis/resource?r=deep-sea_meiobenthos_calvi_corsica_september_1982",1
"3c310763-cce7-499c-8bec-4ae728283da7","http://ipt.vliz.be/eurobis/resource?r=emodnet_06_msfd",1
"ea0d2009-f567-44a9-9749-7bcbaf930d03","http://ipt.vliz.be/eurobis/resource?r=emodnet_07_cefas_mcz_improved",2
"4bdc1f6f-e16a-48b4-b995-b51bd41caa8d","http://ipt.vliz.be/eurobis/resource?r=ewing_valdivia_bank",1
"b7735837-9add-4b42-be20-f4d4a2e5bf13","http://ipt.vliz.be/eurobis/resource?r=fouling_taxa_ostend_1964",1
"ad6cc948-b7ff-41cc-8861-4ae90ffa1053","http://ipt.vliz.be/eurobis/resource?r=helcom_ospar_spain_ports_water_sampling",1
"4c224fea-7e00-442b-a163-3fe82870f93c","http://ipt.vliz.be/eurobis/resource?r=ices_datras_bits",1
"28994fa2-d07a-45c9-84b7-3fff3d728f4b","http://ipt.vliz.be/eurobis/resource?r=ices_datras_ie_igfs",1
"3d08e18e-6146-4e27-ab0e-03504a65cbd4","http://ipt.vliz.be/eurobis/resource?r=inventaires-sbroscoff",9
"b13cce4b-3894-4e89-82e6-aefa341ec2f7","http://ipt.vliz.be/eurobis/resource?r=iof_phypl_2013_2014",8
"ffb0c701-ecb7-4b25-b511-0a0f6ad5ed54","http://ipt.vliz.be/eurobis/resource?r=iof_phytoplankton_composition",3
"e69be30f-84e8-4c21-a7ce-9fb4fb14ce6a","http://ipt.vliz.be/eurobis/resource?r=jncc_mr_snapshot_whole_uk_3",1
"ebdeede8-dd93-4e2f-979e-e097bd516dcb","http://ipt.vliz.be/eurobis/resource?r=jncc_mr_snapshot_whole_uk_8",1
"b1363fbb-afec-4dc7-85b6-39b8a5ebb55c","http://ipt.vliz.be/eurobis/resource?r=library_martinangel_halocyprida",1
"06aaf685-c9db-4ff0-b45f-bf7b78df1c2f","http://ipt.vliz.be/eurobis/resource?r=macro-and_meiobenthos_of_a_sublittoral_sandbank_in_the_southern_bight_of_the_north_sea_5_september_1978",2
"a4695be4-9914-4cc2-ac24-201bd868db57","http://ipt.vliz.be/eurobis/resource?r=macrobenthos_alpe_adria",5
"9df9e620-d008-4cd2-82d6-aecc6af23644","http://ipt.vliz.be/eurobis/resource?r=macrobenthosritmare-podelta",3
