"dataset_id","originalScientificName","n_interpreted","interpreted","aphiaids","url"
"9e2005b5-0e20-4701-bbdb-bd441bd65ea3","Ostreopsis",2,"Ostreopsis;Ostreopsis fattorussoi","109524;1023403","http://ipt.iobis.org/hab/resource?r=hab-mediterranean"
"9e2005b5-0e20-4701-bbdb-bd441bd65ea3","Prorocentrum mexicanum",2,"Prorocentrum mexicanum;Prorocentrum rhathymum","231885;232298","http://ipt.iobis.org/hab/resource?r=hab-mediterranean"
"9e2005b5-0e20-4701-bbdb-bd441bd65ea3","Pseudo-nitzschia delicatissima",2,"Pseudo-nitzschia;Pseudo-nitzschia delicatissima","149151;149153","http://ipt.iobis.org/hab/resource?r=hab-mediterranean"
"d6661617-6965-4f1f-8a38-71d585443306","Alexandrium tamarense",2,"Alexandrium australiense;Alexandrium catenella","231873;833063","http://ipt.iobis.org/hab/resource?r=hab-region-5"
"d6661617-6965-4f1f-8a38-71d585443306","Gambierdiscus yasumotoi",2,"Fukuyoa;Fukuyoa yasumotoi","843036;843037","http://ipt.iobis.org/hab/resource?r=hab-region-5"
"1f33ac1f-ee0c-408a-a435-eb667e3199dc","Alexandrium spp.",2,"Alexandrium;Amphidoma languida","109470;729889","http://ipt.iobis.org/hab/resource?r=hab_region_3"
"20ba274e-b09a-4c03-a8ae-7d2a30020f70","Gymnodinium",2,"Gymnodinium;Karenia cristata","109475;233020","http://ipt.iobis.org/hab/resource?r=hab_southern_africa"
"6ce6ef11-3c7f-4559-aa34-e4e7c316a3dc","Tellina angulata",2,"Serratina charlottae;Tellina angulata","565258;703811","http://ipt.iobis.org/indobis/resource?r=indobisdataset-30001-32000"
"c46f24d7-4dc7-48e1-922a-fc34b66e9ccc","Cerithium morus",2,"Batillaria sordida;Clypeomorus bifasciata","139067;446437","http://ipt.iobis.org/indobis/resource?r=indobisdataset-34001-36000"
"08709260-0555-4b50-9a44-162fb154a298","Caulerpa sertularioides longiseta",2,"Caulerpa sertularioides f. longiseta;Caulerpa sertularioides var. longiseta","381843;553181","http://ipt.iobis.org/indobis/resource?r=indobisdataset-42001-44000"
"ff52e479-540a-46c2-bf6e-d93e3d35440e","Myxilla (Myxilla) dendyi",2,"Myxilla (Myxilla) burtoni;Myxilla dendyi","1253485;1423784","http://ipt.iobis.org/indobis/resource?r=indobisdataset-50001-52000"
"df9b9872-1d9a-499d-840b-66178b3bcaac","Quadrivisio bengalensis",2,"Quadrivisio;Quadrivisio bengalensis","531349;535461","http://ipt.iobis.org/indobis/resource?r=indobisdataset-54001-56000"
"21db04d1-5343-4f3a-8c29-6ec831016a31","Diploneis dydima",2,"Navicula didyma;Pinnularia didyma","662632;962642","http://ipt.iobis.org/indobis/resource?r=indobisdataset-66001-68000"
"21db04d1-5343-4f3a-8c29-6ec831016a31","Ditylum sol",2,"Ditylum sol;Triceratium sol","418546;651534","http://ipt.iobis.org/indobis/resource?r=indobisdataset-66001-68000"
"21db04d1-5343-4f3a-8c29-6ec831016a31","Navicula directa var. remota",2,"Navicula directa var. remota;Navicula remota","661905;679230","http://ipt.iobis.org/indobis/resource?r=indobisdataset-66001-68000"
"21db04d1-5343-4f3a-8c29-6ec831016a31","Navicula elegans",2,"Navicula elegans;Navicula elegans f. elegans","962673;983851","http://ipt.iobis.org/indobis/resource?r=indobisdataset-66001-68000"
"21db04d1-5343-4f3a-8c29-6ec831016a31","Navicula henneidyi",2,"Navicula hennedyi;Navicula hennedyii","149429;704486","http://ipt.iobis.org/indobis/resource?r=indobisdataset-66001-68000"
"21db04d1-5343-4f3a-8c29-6ec831016a31","Nitzschia paduriformis",2,"Nitzschia panduriformis;Nitzschia panduriformis f. panduriformis","963647;984623","http://ipt.iobis.org/indobis/resource?r=indobisdataset-66001-68000"
"21db04d1-5343-4f3a-8c29-6ec831016a31","Nitzschia panduriformis",2,"Nitzschia panduriformis;Nitzschia panduriformis f. panduriformis","963647;984623","http://ipt.iobis.org/indobis/resource?r=indobisdataset-66001-68000"
"21db04d1-5343-4f3a-8c29-6ec831016a31","Pleurosigma angulatum var. strigosum",2,"Pleurosigma strigosum var. strigosum","695395;979672","http://ipt.iobis.org/indobis/resource?r=indobisdataset-66001-68000"
"21db04d1-5343-4f3a-8c29-6ec831016a31","Rhizosolenia alata",2,"Proboscia alata;Rhizosolenia indica","149168;231887","http://ipt.iobis.org/indobis/resource?r=indobisdataset-66001-68000"
"fd7f72a1-32a2-444e-a245-a12b5672da51","Peridinium depressum",2,"Protoperidinium antarcticum;Protoperidinium depressum","110217;233502","http://ipt.iobis.org/indobis/resource?r=indobisdataset-68001-70000"
"0d5a9997-439b-42be-9e01-c50a5a85e266","Montipora meandrina",3,"Montipora culiculata;Montipora maeandrina;Montipora millepora","207188;207189;207190","http://ipt.iobis.org/indobis/resource?r=indobisdataset-78001-80000"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Amphipholis misera",2,"Amphipholis misera;Amphiura (Amphiura) ambigua","242872;243009","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Astropecten polyacanthus",2,"Astropecten polyacanthus;Astropecten vappa","213245;345431","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Astropecten vappa",3,"Astropecten vappa;Cenometra bella;Clypeaster rarispinus","213365;345431;711343","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Clypeaster rarispinus",2,"Clypeaster rarispinus;Sculpsitechinus auritus","213365;828570","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Lovenia elongata",2,"Lovenia elongata;Luidia hardwicki","213113;214656","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Luidia hardwicki",3,"Luidia hardwicki;Ophiacantha dallasii;Ophiarachnella infernalis","213113;213219;243341","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Ophiocnemis marmorata",3,"Breviturma brevipes;Ophiocnemis marmorata;Ophioconis cupida","212431;238159;1214744","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Ophioconis cupida",2,"Ophiopteron elegans;Ophiothrix (Acanthophiothrix) proteus","244025;244143","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
"5d3b9575-1100-48c7-ae67-4e9ac3d78e34","Ophiothrix (Acanthophiothrix) proteus",2,"Ophiothrix (Acanthophiothrix) purpurea;Ophiothrix (Ophiothrix) foveolata","244144;244174","http://ipt.iobis.org/indobis/resource?r=indobisdataset-92001-93629"
